ID,Category,Service Provider/Name,Contact Number,Notes/Location
55,Construction,Abd Malik Renovation,017-6354449,Includes Plumbing
56,Health,Yanie Confinement,013-9323395,Ladycare
57,Telco,ONEXOX Suhaila,016-5510475,Nilai BBN
58,Health,Salina (JRM/Sendayu Tinggi),012-3045141,
59,Education,Thila (Primary/Pre),011-33322991,SK Teacher BM
60,Electrical,Adam (boi friday),017-2727407,Desa Kolej 24hrs
61,Food,Azzif (Miqail Frozen),012-2697304,Sausage/Meatballs
62,Auto,Ah Hin Bateri Kereta,012-6113506,
63,Transport,T3 Car Rental,012-3021305,WhatsApp only
64,Cleaning,Brontz House Cleaning,012-3903309,
65,Plumbing,Wan Plumbing,017-6654266,
66,Tailor,Yana Jln 5 (Tailor),017-2884414,
67,Massage,Mak Ros Urutan Tradisional,013-4613161,Nilai/Mantin/Seremban
68,Health,Mahirah Fisio Treatment,013-7396191,Women only
69,Beauty,Muslimah Spa Fillia Classic,011-10611748,010-2026877
70,Sports,Coach Rizan (Tennis),016-2336084,Kids @ Nilai
71,Education,Teacher Rozan Home Tuition,012-3698592,Jalan 5
72,Homestay,Munira Homestay,019-3995488,Desa Kolej Jln 6
73,Auto,Amirul Mobile mechanic,010-4315002,
74,Homestay,Zaifazlin Homestay,010-7614160,Desa Anggerik
75,Homestay,Homestay Sri Anggerik,011-10645626,
76,Homestay,En. Zul Homestay,012-3769344,Desa Anggerik
77,Homestay,En Hisam Homestay,012-2944353,Puncak Jati
78,Homestay,En Idris Homestay,019-3819131,Desa Kolej Jln 1
79,Aircon,En Sham Repair Aircon,013-9968988,
80,Homestay,Chalet Baitul Hanan,012-6035544,BBST Room with pool
81,Food,Nasi Lemak Bob Gadang,019-6345643,
82,Homestay,Izza Homestay,013-7850903,Puncak Jati
83,Food,Satay Willy,017-6716196,
84,Food,Shahrina Maqlubah Palestin,017-9951971,Desa Kolej Jln 8
89,Food,Pakngahdaus Catering,017-3078217,Sedekah program
90,Food,TG Frozen Nilai (Faqhera),014-6317705,Ayam/Daging
91,Electrical/AC,Kassturi Global Solution,012-2963578,CCTV/Aircond
92,Cleaning,Pro Bio Hygine services,012-2963578,Home service
93,Events,Ecah PA System/Karaoke,017-2217085,
94,Electrical/AC,Along Aircond/Electrical,016-7057161,
95,Home & Garden,AjiSyam (Tanjor/Recia),011-35791080,Soil/Soap
96,Transport,Amran Lori Sewa,017-3417113,Moving/Disposal
97,Electrical,Nordin Ahmad Repair,010-8185978,
98,Construction,Fahim Solution,019-3918700,Zul (010-2205740)
99,Runner,NN runner nilai (Sham),011-19956001,
100,Education,Pusat tuisyen KPM,014-3043414,Tmn Semarak
101,Massage,Kaksu (Urut/Saraf/Strok),013-6386437,
102,Events,Lizz Naga Kramat PA System,017-3446169,
103,Cleaning/Transport,Home/Office Cleaning,013-2525613,
104,Beauty/Health,SPA RESDUNG NILAI,013-6380494,Tanpa asap
105,Finance,Beli Emas/Surat Pajak,019-6849065,
106,Industrial,PolyPaq Sdn Bhd,019-5330860,Packaging/Strapping
107,Appliances,LG Peralatan Rumah,017-2378029,
